filename	used_for_ai	id_box	label_id	label_name	x_center_rel	y_center_rel	width_rel	height_rel	img_width	img_height	folder
Araneae_Agelenidae_Agelena_labyrinthica_3005170945_2202960.jpeg	1	1	0	Araneae	0.315755208333333	0.566162109375	0.229166666666667	0.15185546875	1536	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelena_labyrinthica_3079669635_2227294.jpeg	1	1	0	Araneae	0.505859375	0.544921875	0.618489583333333	0.5107421875	1536	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelena_orientalis_2429400616_2340718.jpg	1	1	0	Araneae	0.514227642276423	0.455808080808081	0.585365853658537	0.611111111111111	984	792	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelena_orientalis_2856841425_2182212.jpg	1	1	0	Araneae	0.515	0.522962962962963	0.176666666666667	0.180740740740741	1800	1350	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelenopsis_potteri_3031945056_2413059.jpg	0								773	618	
Araneae_Agelenidae_Agelenopsis_potteri_3385035489_2072279.jpeg	1	1	0	Araneae	0.533462389380531	0.4521484375	0.732853982300885	0.6923828125	1808	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelescape_livida_3058689693_1811826.jpeg	1	1	0	Araneae	0.50927734375	0.4052734375	0.802734375	0.785807291666667	2048	1536	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Agelescape_livida_3070465744_2021688.jpeg	0								1152	1535	
Araneae_Agelenidae_Allagelena_gracilens_2984567864_1993723.jpeg	1	1	0	Araneae	0.64697265625	0.381184895833333	0.69921875	0.759765625	2048	1536	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Allagelena_gracilens_2984567864_1993725.jpeg	1	1	0	Araneae	0.6083984375	0.378580729166667	0.7080078125	0.751953125	2048	1536	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Aterigena_ligurica_3333361724_2052310.jpeg	1	1	0	Araneae	0.436456063907044	0.615832762165867	0.602759622367466	0.642220699108979	1377	1459	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Aterigena_ligurica_3333361724_2052313.jpeg	1	1	0	Araneae	0.516233766233766	0.616878267363704	0.71948051948052	0.56908140403286	1540	1339	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Coelotes_atropos_1986507502_2116168.jpg	0								2048	1234	
Araneae_Agelenidae_Coelotes_atropos_3061797534_2018199.jpg	0								2048	1360	
Araneae_Agelenidae_Coelotes_terrestris_1880601346_1894593.jpg	1	1	0	Araneae	0.61376953125	0.482638888888889	0.251953125	0.366319444444444	2048	1152	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Coelotes_terrestris_1977520128_2319188.jpg	0								630	675	
Araneae_Agelenidae_Eratigena_agrestis_3335324357_2665351.jpg	1	1	0	Araneae	0.566650390625	0.51171875	0.59716796875	0.91796875	2048	1536	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Eratigena_agrestis_3355438423_1860166.jpeg	1	1	0	Araneae	0.513354700854701	0.60202492211838	0.661324786324786	0.40134994807892	936	1926	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Eratigena_atrica_3070449935_2224973.jpg	1	1	0	Araneae	0.511393229166667	0.48876953125	0.783203125	0.7783203125	1536	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Eratigena_atrica_3327978690_2251809.jpg	1	1	0	Araneae	0.556966145833333	0.510498046875	0.637369791666667	0.52783203125	1536	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Eratigena_duellica_2856866340_2182247.jpeg	1	1	0	Araneae	0.488442211055276	0.34814453125	0.436180904522613	0.2724609375	995	2048	img_araneae_sample_2021_10_28
Araneae_Agelenidae_Eratigena_duellica_3067926935_2223151.jpg	1	1	0	Araneae	0.530598958333333	0.49365234375	0.751302083333333	0.3447265625	1536	2048	img_araneae_sample_2021_10_28
